2026-06-29 01:30:46	zhw	1
2026-06-29 01:55:19	zhw1	2
2026-06-29 01:56:34	AI小助手	正在生成群聊摘要，请稍候...
2026-06-29 01:57:04	AI小助手	群聊摘要生成失败: timeout
2026-06-29 01:58:15	AI小助手	正在生成群聊摘要，请稍候...
2026-06-29 01:58:45	AI小助手	群聊摘要生成失败: Read timed out
2026-06-29 11:37:57	AI小助手	正在生成群聊摘要，请稍候...
2026-06-29 11:38:57	AI小助手	群聊摘要生成失败: timeout
2026-06-29 11:39:09	AI小助手	正在生成群聊摘要，请稍候...
2026-06-29 11:40:09	AI小助手	群聊摘要生成失败: timeout
2026-06-29 11:40:42	zhw	zhw你在玩什么游戏？
2026-06-29 11:40:46	AI小助手	正在生成群聊摘要，请稍候...
2026-06-29 11:41:46	AI小助手	群聊摘要生成失败: timeout
2026-06-29 11:44:49	server	已删除好友: zhw2
2026-06-29 11:44:53	server	好友请求已发送给 zhw2，请等待对方确认
2026-06-29 12:02:54	AI小助手	正在生成群聊摘要，请稍候...
2026-06-29 12:03:54	AI小助手	群聊摘要生成失败: timeout
2026-06-30 22:16:13	zhw	nih1
